"primary_type","community_area","count"
"THEFT","73","14232"
"BATTERY","76","4114"
"ASSAULT","39","2765"
"MOTOR VEHICLE THEFT","7","4213"
"ASSAULT","32","7385"
"BATTERY","1831","42"
"DECEPTIVE PRACTICE","24","9147"
"MOTOR VEHICLE THEFT","59","1630"
"DECEPTIVE PRACTICE","33","3772"
"BATTERY","1812","6"
"CRIMINAL TRESPASS","28","10126"
"CRIMINAL TRESPASS","27","2462"
"BURGLARY","70","5227"
"ROBBERY","15","2098"
"ROBBERY","31","1991"
"DECEPTIVE PRACTICE","70","3448"
"THEFT","14","13046"
"BURGLARY","68","10590"
"HOMICIDE","2","66"
"OTHER OFFENSE","33","3132"
"ROBBERY","33","1340"
"NARCOTICS","65","1704"
"OTHER OFFENSE","59","1638"
"ASSAULT","18","982"
"ASSAULT","0634","8"
"KIDNAPPING","15","94"
"WEAPONS VIOLATION","73","1391"
"BATTERY","1911","7"
"NARCOTICS","4","1509"
"BATTERY","0223","24"
"CRIMINAL SEXUAL ASSAULT","33","57"
"ARSON","19","389"
"BATTERY","2422","34"
"STALKING","77","48"
"HOMICIDE","30","336"
"ASSAULT","1123","4"
"INTIMIDATION","40","30"
"HOMICIDE","33","48"
"BATTERY","2423","11"
"CONCEALED CARRY LICENSE VIOLATION","46","11"
"BATTERY","0532","26"
"STALKING","58","46"
"BATTERY","0731","24"
"BATTERY","0434","25"
"BATTERY","1434","7"
"HUMAN TRAFFICKING","27","1"
"ASSAULT","1831","4"
"INTIMIDATION","62","10"
"PUBLIC PEACE VIOLATION","73","354"
"OBSCENITY","65","9"
"CONCEALED CARRY LICENSE VIOLATION","62","1"
"LIQUOR LAW VIOLATION","56","95"
"STALKING","63","36"
"ARSON","5","53"
"ASSAULT","0533","3"
"ASSAULT","015","1517"
"BATTERY","003","3016"
"ASSAULT","010","1489"
"GAMBLING","28","219"
"GAMBLING","75","59"
"LIQUOR LAW VIOLATION","009","22"
"PUBLIC PEACE VIOLATION","009","382"
"CRIM SEXUAL ASSAULT","37","84"
"ROBBERY","022","166"
"CRIM SEXUAL ASSAULT","44","576"
"NARCOTICS","016","514"
"GAMBLING","015","15"
"CRIM SEXUAL ASSAULT","20","170"
"BURGLARY","006","147"
"PROSTITUTION","59","32"
"RITUALISM","025","2"
"ROBBERY","024","45"
"CRIM SEXUAL ASSAULT","018","19"
"KIDNAPPING","9","17"
"INTIMIDATION","36","10"
"GAMBLING","20","10"
"OBSCENITY","17","8"
"STALKING","007","10"
"HUMAN TRAFFICKING","51","2"
"CRIM SEXUAL ASSAULT","006","29"
"PUBLIC INDECENCY","26","2"
"OBSCENITY","016","4"
"STALKING","019","2"
"CRIMINAL SEXUAL ASSAULT","014","1"
"BATTERY","3","17313"
"THEFT","32","88016"
"BATTERY","69","38253"
"WEAPONS VIOLATION","43","3274"
"ASSAULT","14","3442"
"DECEPTIVE PRACTICE","7","8161"
"ASSAULT","67","15065"
"MOTOR VEHICLE THEFT","77","2448"
"ASSAULT","3","6490"
"STALKING","16","60"
"BATTERY","8","31711"
"ASSAULT","8","9666"
"OTHER OFFENSE","45","2515"
"WEAPONS VIOLATION","42","1906"
"OTHER OFFENSE","62","1670"
"PUBLIC PEACE VIOLATION","6","914"
"CONCEALED CARRY LICENSE VIOLATION","76","225"
"HOMICIDE","66","355"
"BATTERY","0122","22"
"WEAPONS VIOLATION","53","2922"
"CRIMINAL TRESPASS","43","5562"
"BATTERY","65","6500"
"MOTOR VEHICLE THEFT","61","6002"
"DECEPTIVE PRACTICE","4","3383"
"ASSAULT","2534","5"
"MOTOR VEHICLE THEFT","42","3805"
"OFFENSE INVOLVING CHILDREN","30","1320"
"BATTERY","0611","17"
"SEX OFFENSE","57","135"
"BATTERY","0624","35"
"ASSAULT","1011","6"
"CRIMINAL DAMAGE","41","4614"
"BATTERY","1712","20"
"WEAPONS VIOLATION","1","937"
"SEX OFFENSE","62","148"
"CRIMINAL DAMAGE","36","1984"
"INTIMIDATION","2","52"
"SEX OFFENSE","11","143"
"BATTERY","0824","10"
"ASSAULT","0424","6"
"ROBBERY","20","1422"
"ROBBERY","74","217"
"GAMBLING","25","2411"
"INTERFERENCE WITH PUBLIC OFFICER","37","116"
"OFFENSE INVOLVING CHILDREN","72","283"
"ASSAULT","2211","1"
"BATTERY","0932","22"
"BATTERY","1511","21"
"BATTERY","0112","28"
"LIQUOR LAW VIOLATION","21","181"
"WEAPONS VIOLATION","12","38"
"ASSAULT","2024","4"
"LIQUOR LAW VIOLATION","31","372"
"ASSAULT","1221","3"
"ARSON","65","118"
"CONCEALED CARRY LICENSE VIOLATION","8","26"
"STALKING","61","60"
"ASSAULT","1022","9"
"INTERFERENCE WITH PUBLIC OFFICER","30","250"
"DECEPTIVE PRACTICE","022","101"
"ASSAULT","1712","1"
"OBSCENITY","20","6"
"LIQUOR LAW VIOLATION","3","234"
"LIQUOR LAW VIOLATION","10","46"
"KIDNAPPING","70","84"
"THEFT","017","1294"
"OFFENSE INVOLVING CHILDREN","009","58"
"GAMBLING","54","44"
"ARSON","025","16"
"WEAPONS VIOLATION","017","198"
"OTHER OFFENSE","006","216"
"BURGLARY","002","275"
"CRIM SEXUAL ASSAULT","010","26"
"CRIM SEXUAL ASSAULT","36","63"
"PUBLIC PEACE VIOLATION","45","143"
"INTIMIDATION","44","65"
"LIQUOR LAW VIOLATION","62","47"
"GAMBLING","56","35"
"INTERFERENCE WITH PUBLIC OFFICER","70","69"
"INTERFERENCE WITH PUBLIC OFFICER","62","33"
"NON-CRIMINAL","42","2"
"STALKING","018","4"
"PUBLIC INDECENCY","43","3"
"KIDNAPPING","004","15"
"INTERFERENCE WITH PUBLIC OFFICER","025","5"
"OBSCENITY","27","11"
"OBSCENITY","48","5"
"NON-CRIMINAL","16","1"
"NON-CRIMINAL (SUBJECT SPECIFIED)","37","1"
"RITUALISM","1123","1"
"BATTERY","66","33529"
"BATTERY","33","7539"
"THEFT","67","26891"
"CRIMINAL DAMAGE","66","21193"
"WEAPONS VIOLATION","49","3928"
"WEAPONS VIOLATION","67","5030"
"CRIMINAL DAMAGE","49","22899"
"OTHER OFFENSE","66","11168"
"ASSAULT","68","14070"
"ROBBERY","69","8911"
"ROBBERY","71","9021"
"CRIMINAL DAMAGE","27","11221"
"OTHER OFFENSE","31","3951"
"CRIMINAL TRESPASS","32","7757"
"OFFENSE INVOLVING CHILDREN","61","1286"
"MOTOR VEHICLE THEFT","56","2471"
"DECEPTIVE PRACTICE","11","2254"
"SEX OFFENSE","42","395"
"LIQUOR LAW VIOLATION","42","87"
"CRIMINAL SEXUAL ASSAULT","58","60"
"CRIMINAL DAMAGE","9","1276"
"PUBLIC PEACE VIOLATION","28","1114"
"PUBLIC PEACE VIOLATION","12","50"
"BATTERY","2531","13"
"BATTERY","1023","45"
"OTHER OFFENSE","57","1316"
"ARSON","73","126"
"OFFENSE INVOLVING CHILDREN","35","371"
"WEAPONS VIOLATION","13","100"
"BATTERY","0321","43"
"BATTERY","0834","13"
"ROBBERY","65","1712"
"SEX OFFENSE","33","162"
"CONCEALED CARRY LICENSE VIOLATION","66","8"
"STALKING","27","88"
"ROBBERY","50","786"
"PUBLIC PEACE VIOLATION","4","366"
"ARSON","38","95"
"WEAPONS VIOLATION","76","266"
"BATTERY","1224","11"
"BATTERY","1113","34"
"INTIMIDATION","1","60"
"CRIMINAL SEXUAL ASSAULT","60","35"
"STALKING","13","16"
"BATTERY","1114","22"
"BATTERY","0711","19"
"NARCOTICS","55","795"
"SEX OFFENSE","74","75"
"INTIMIDATION","75","43"
"LIQUOR LAW VIOLATION","74","81"
"OBSCENITY","55","4"
"STALKING","57","12"
"INTIMIDATION","51","35"
"ASSAULT","0935","3"
"ASSAULT","1134","5"
"PROSTITUTION","23","3103"
"ASSAULT","0933","5"
"INTIMIDATION","55","18"
"BATTERY","1655","4"
"ASSAULT","1933","2"
"BATTERY","008","4634"
"OFFENSE INVOLVING CHILDREN","006","113"
"HOMICIDE","35","96"
"HOMICIDE","11","15"
"LIQUOR LAW VIOLATION","008","12"
"GAMBLING","009","1"
"SEX OFFENSE","008","137"
"WEAPONS VIOLATION","025","323"
"CRIM SEXUAL ASSAULT","7","297"
"KIDNAPPING","025","22"
"BURGLARY","014","44"
"DECEPTIVE PRACTICE","006","70"
"OFFENSE INVOLVING CHILDREN","005","108"
"LIQUOR LAW VIOLATION","18","20"
"SEX OFFENSE","005","86"
"GAMBLING","011","15"
"OTHER NARCOTIC VIOLATION","012","2"
"OBSCENITY","024","6"
"OTHER NARCOTIC VIOLATION","24","9"
"KIDNAPPING","48","46"
"ARSON","015","6"
"RITUALISM","51","1"
"OBSCENITY","36","3"
"PUBLIC INDECENCY","007","1"
"INTIMIDATION","024","2"
"CONCEALED CARRY LICENSE VIOLATION","57","1"
"ASSAULT","0434","1"
"BATTERY","71","41119"
"BATTERY","40","17580"
"ROBBERY","25","19037"
"MOTOR VEHICLE THEFT","12","470"
"MOTOR VEHICLE THEFT","3","3229"
"INTERFERENCE WITH PUBLIC OFFICER","27","500"
"CRIMINAL DAMAGE","18","2649"
"WEAPONS VIOLATION","59","342"
"BATTERY","38","20047"
"BATTERY","0331","33"
"BATTERY","0323","24"
"DECEPTIVE PRACTICE","48","1833"
"SEX OFFENSE","10","158"
"OTHER OFFENSE","18","1466"
"INTIMIDATION","28","147"
"DECEPTIVE PRACTICE","34","1959"
"CRIMINAL SEXUAL ASSAULT","28","195"
"OTHER OFFENSE","55","1355"
"INTERFERENCE WITH PUBLIC OFFICER","26","659"
"OFFENSE INVOLVING CHILDREN","1","740"
"ASSAULT","60","3130"
"KIDNAPPING","68","149"
"STALKING","8","167"
"BATTERY","2515","25"
"BURGLARY","12","1428"
"BATTERY","1222","17"
"OTHER OFFENSE","51","3465"
"PROSTITUTION","8","3917"
"INTIMIDATION","66","75"
"OFFENSE INVOLVING CHILDREN","54","343"
"PUBLIC PEACE VIOLATION","22","837"
"NARCOTICS","45","1600"
"SEX OFFENSE","68","584"
"OBSCENITY","74","6"
"ARSON","10","51"
"OFFENSE INVOLVING CHILDREN","42","1063"
"OFFENSE INVOLVING CHILDREN","75","670"
"PUBLIC PEACE VIOLATION","24","935"
"ARSON","27","179"
"STALKING","53","71"
"STALKING","48","33"
"HOMICIDE","29","530"
"BATTERY","0234","26"
"CRIMINAL SEXUAL ASSAULT","18","14"
"SEX OFFENSE","75","155"
"ASSAULT","1222","2"
"BATTERY","0232","19"
"BATTERY","1723","16"
"CRIMINAL TRESPASS","57","284"
"LIQUOR LAW VIOLATION","40","66"
"INTERFERENCE WITH PUBLIC OFFICER","10","27"
"KIDNAPPING","42","115"
"ROBBERY","018","57"
"INTIMIDATION","21","29"
"KIDNAPPING","39","30"
"SEX OFFENSE","018","58"
"BATTERY","1524","16"
"INTERFERENCE WITH PUBLIC OFFICER","34","48"
"ARSON","34","42"
"ASSAULT","2232","6"
"ASSAULT","0832","3"
"CRIM SEXUAL ASSAULT","67","877"
"NARCOTICS","025","798"
"CRIMINAL TRESPASS","0","3"
"CRIM SEXUAL ASSAULT","23","737"
"PROSTITUTION","14","576"
"GAMBLING","","1107"
"NARCOTICS","022","755"
"ASSAULT","022","1863"
"PUBLIC PEACE VIOLATION","012","483"
"GAMBLING","23","926"
"CRIMINAL TRESPASS","002","536"
"GAMBLING","005","12"
"CRIM SEXUAL ASSAULT","45","157"
"DECEPTIVE PRACTICE","017","68"
"GAMBLING","14","63"
"ROBBERY","001","35"
"STALKING","003","4"
"STALKING","34","17"
"NON - CRIMINAL","50","2"
"INTERFERENCE WITH PUBLIC OFFICER","003","8"
"PUBLIC INDECENCY","019","1"
"NON-CRIMINAL","37","1"
"CONCEALED CARRY LICENSE VIOLATION","65","2"
"OTHER NARCOTIC VIOLATION","16","2"
"CONCEALED CARRY LICENSE VIOLATION","58","1"
"KIDNAPPING","001","2"
"CRIMINAL SEXUAL ASSAULT","018","4"
"ASSAULT","1733","2"
"ASSAULT","0835","1"
"ASSAULT","1413","1"
"NON - CRIMINAL","51","1"
"CRIMINAL SEXUAL ASSAULT","017","1"
"CRIMINAL TRESPASS","61","2738"
"MOTOR VEHICLE THEFT","71","7919"
"WEAPONS VIOLATION","35","636"
"BATTERY","37","4203"
"NARCOTICS","14","3202"
"BURGLARY","6","10233"
"CRIMINAL DAMAGE","75","7008"
"THEFT","35","14406"
"ROBBERY","68","8107"
"CRIMINAL SEXUAL ASSAULT","67","139"
"ROBBERY","72","790"
"BATTERY","1532","30"
"BATTERY","1522","57"
"SEX OFFENSE","43","691"
"BURGLARY","41","3222"
"THEFT","20","6577"
"ROBBERY","34","1716"
"OFFENSE INVOLVING CHILDREN","22","1020"
"OTHER OFFENSE","75","4443"
"SEX OFFENSE","23","638"
"INTIMIDATION","29","77"
"SEX OFFENSE","19","665"
"INTERFERENCE WITH PUBLIC OFFICER","25","1698"
"OFFENSE INVOLVING CHILDREN","24","785"
"WEAPONS VIOLATION","5","119"
"INTIMIDATION","77","40"
"ROBBERY","59","737"
"HOMICIDE","43","520"
"OFFENSE INVOLVING CHILDREN","36","185"
"PUBLIC PEACE VIOLATION","74","75"
"CONCEALED CARRY LICENSE VIOLATION","32","12"
"KIDNAPPING","20","53"
"PUBLIC PEACE VIOLATION","70","363"
"CRIMINAL SEXUAL ASSAULT","36","20"
"ASSAULT","2422","7"
"ASSAULT","1211","3"
"ASSAULT","1713","3"
"LIQUOR LAW VIOLATION","4","188"
"LIQUOR LAW VIOLATION","1","287"
"BATTERY","1931","6"
"BATTERY","2221","13"
"BATTERY","0213","18"
"NARCOTICS","18","435"
"ASSAULT","2521","2"
"NARCOTICS","64","1041"
"BATTERY","2012","7"
"KIDNAPPING","30","101"
"INTIMIDATION","72","19"
"DECEPTIVE PRACTICE","2011","1"
"SEX OFFENSE","024","35"
"STALKING","62","22"
"CRIMINAL SEXUAL ASSAULT","","15"
"PROSTITUTION","68","2032"
"NARCOTICS","011","563"
"NARCOTICS","015","338"
"CRIM SEXUAL ASSAULT","31","218"
"ASSAULT","0122","3"
"OBSCENITY","33","7"
"CRIM SEXUAL ASSAULT","38","373"
"ARSON","","1281"
"CRIMINAL DAMAGE","003","475"
"INTERFERENCE WITH PUBLIC OFFICER","","501"
"PROSTITUTION","16","88"
"CRIM SEXUAL ASSAULT","57","82"
"KIDNAPPING","65","58"
"INTIMIDATION","49","102"
"OFFENSE INVOLVING CHILDREN","019","42"
"DECEPTIVE PRACTICE","024","36"
"RITUALISM","46","2"
"BURGLARY","024","51"
"GAMBLING","21","29"
"INTIMIDATION","50","58"
"PROSTITUTION","48","2"
"STALKING","020","7"
"PUBLIC INDECENCY","2","2"
"CONCEALED CARRY LICENSE VIOLATION","52","2"
"OBSCENITY","35","4"
"OTHER NARCOTIC VIOLATION","49","1"
"NON-CRIMINAL","4","3"
"NON-CRIMINAL","15","1"
"PUBLIC INDECENCY","40","1"
"PUBLIC INDECENCY","35","1"
"ASSAULT","1722","2"
"PUBLIC INDECENCY","23","1"
"ASSAULT","0231","3"
"ASSAULT","63","3820"
"CRIMINAL DAMAGE","22","17628"
"NARCOTICS","8","10406"
"DECEPTIVE PRACTICE","41","4739"
"CRIMINAL DAMAGE","53","15484"
"BATTERY","23","41181"
"MOTOR VEHICLE THEFT","62","1503"
"NARCOTICS","26","36340"
"STALKING","69","114"
"CRIMINAL DAMAGE","65","7918"
"BATTERY","1612","19"
"DECEPTIVE PRACTICE","49","6109"
"DECEPTIVE PRACTICE","68","4149"
"OTHER OFFENSE","58","4381"
"BATTERY","63","10704"
"WEAPONS VIOLATION","25","7288"
"ASSAULT","53","8934"
"CRIMINAL TRESPASS","67","3892"
"SEX OFFENSE","34","90"
"WEAPONS VIOLATION","77","275"
"BURGLARY","75","3449"
"THEFT","62","5891"
"DECEPTIVE PRACTICE","54","577"
"CRIMINAL TRESPASS","49","4427"
"CRIMINAL TRESPASS","35","5873"
"ASSAULT","35","4546"
"INTERFERENCE WITH PUBLIC OFFICER","23","855"
"OTHER OFFENSE","10","2867"
"BATTERY","0633","13"
"OTHER OFFENSE","63","3999"
"OFFENSE INVOLVING CHILDREN","44","1146"
"WEAPONS VIOLATION","33","330"
"MOTOR VEHICLE THEFT","5","1750"
"STALKING","39","29"
"BURGLARY","21","4988"
"BATTERY","59","4225"
"CRIMINAL SEXUAL ASSAULT","7","82"
"PUBLIC PEACE VIOLATION","35","247"
"OTHER OFFENSE","37","955"
"BURGLARY","9","362"
"NARCOTICS","50","1355"
"INTIMIDATION","70","43"
"NARCOTICS","57","818"
"THEFT","012","2649"
"BATTERY","1634","13"
"HUMAN TRAFFICKING","8","3"
"HOMICIDE","17","27"
"ROBBERY","012","62"
"STALKING","1","74"
"BATTERY","0233","17"
"KIDNAPPING","18","18"
"INTIMIDATION","73","33"
"ARSON","15","173"
"LIQUOR LAW VIOLATION","41","28"
"NARCOTICS","47","975"
"BATTERY","0215","16"
"INTIMIDATION","46","93"
"STALKING","41","48"
"DECEPTIVE PRACTICE","010","42"
"HOMICIDE","9","4"
"PROSTITUTION","6","628"
"SEX OFFENSE","016","59"
"PROSTITUTION","","8015"
"KIDNAPPING","24","83"
"WEAPONS VIOLATION","001","54"
"KIDNAPPING","009","15"
"CRIM SEXUAL ASSAULT","34","44"
"INTERFERENCE WITH PUBLIC OFFICER","4","58"
"GAMBLING","59","11"
"PROSTITUTION","017","2"
"OBSCENITY","26","4"
"OBSCENITY","004","3"
"ASSAULT","2221","3"
"ASSAULT","0923","1"
"PUBLIC INDECENCY","75","2"
"STALKING","009","4"
"NON-CRIMINAL (SUBJECT SPECIFIED)","2","1"
"ASSAULT","1213","2"
"BATTERY","1432","2"
"ASSAULT","2012","2"
"BATTERY","1813","3"
"OTHER OFFENSE","77","4983"
"CRIMINAL DAMAGE","67","23238"
"THEFT","6","53156"
"BURGLARY","16","6043"
"BATTERY","46","27043"
"THEFT","66","25501"
"BATTERY","0923","14"
"OTHER OFFENSE","73","6422"
"CRIMINAL SEXUAL ASSAULT","4","82"
"THEFT","42","15086"
"BATTERY","11","4089"
"MOTOR VEHICLE THEFT","31","3486"
"ROBBERY","63","2568"
"WEAPONS VIOLATION","66","2910"
"BATTERY","73","14412"
"DECEPTIVE PRACTICE","65","2424"
"ASSAULT","70","4126"
"NARCOTICS","63","5310"
"BATTERY","0513","33"
"SEX OFFENSE","29","609"
"WEAPONS VIOLATION","15","532"
"HOMICIDE","42","215"
"THEFT","39","9153"
"DECEPTIVE PRACTICE","16","3547"
"OFFENSE INVOLVING CHILDREN","8","558"
"OTHER OFFENSE","70","5002"
"MOTOR VEHICLE THEFT","025","1764"
"BURGLARY","30","5053"
"BATTERY","1433","6"
"ROBBERY","19","4348"
"PUBLIC PEACE VIOLATION","55","104"
"MOTOR VEHICLE THEFT","10","871"
"CRIMINAL SEXUAL ASSAULT","23","166"
"DECEPTIVE PRACTICE","14","2651"
"BURGLARY","38","4962"
"THEFT","010","1417"
"ARSON","68","402"
"LIQUOR LAW VIOLATION","67","177"
"BATTERY","72","2734"
"BATTERY","1134","46"
"ASSAULT","0725","5"
"ARSON","67","467"
"CRIMINAL SEXUAL ASSAULT","77","99"
"BATTERY","0811","13"
"PROSTITUTION","25","8022"
"BATTERY","1132","56"
"MOTOR VEHICLE THEFT","74","290"
"ASSAULT","0321","7"
"KIDNAPPING","26","84"
"HOMICIDE","65","39"
"ROBBERY","52","619"
"BATTERY","0922","19"
"CONCEALED CARRY LICENSE VIOLATION","38","6"
"PUBLIC PEACE VIOLATION","60","305"
"ASSAULT","0113","5"
"ARSON","72","30"
"ASSAULT","2431","2"
"ASSAULT","005","2245"
"CONCEALED CARRY LICENSE VIOLATION","34","2"
"CONCEALED CARRY LICENSE VIOLATION","48","5"
"STALKING","67","82"
"INTIMIDATION","15","66"
"CRIMINAL DAMAGE","007","887"
"ASSAULT","0214","2"
"HUMAN TRAFFICKING","23","3"
"ASSAULT","2531","3"
"HOMICIDE","38","195"
"HOMICIDE","31","142"
"CRIM SEXUAL ASSAULT","024","12"
"ASSAULT","004","2839"
"CRIMINAL DAMAGE","008","1264"
"OFFENSE INVOLVING CHILDREN","004","133"
"WEAPONS VIOLATION","","4650"
"PROSTITUTION","69","481"
"CRIM SEXUAL ASSAULT","2","280"
"CRIM SEXUAL ASSAULT","71","788"
"CRIM SEXUAL ASSAULT","30","471"
"SEX OFFENSE","009","83"
"BURGLARY","015","111"
"ROBBERY","009","74"
"CRIM SEXUAL ASSAULT","55","48"
"PROSTITUTION","75","14"
"GAMBLING","002","18"
"ARSON","011","20"
"KIDNAPPING","47","7"
"KIDNAPPING","019","11"
"DECEPTIVE PRACTICE","020","28"
"STALKING","016","4"
"CONCEALED CARRY LICENSE VIOLATION","33","4"
"OTHER NARCOTIC VIOLATION","44","1"
"OTHER NARCOTIC VIOLATION","","9"
"NON-CRIMINAL","61","3"
"NON - CRIMINAL","25","1"
"HUMAN TRAFFICKING","43","1"
"PUBLIC INDECENCY","68","2"
"PROSTITUTION","55","2"
"ASSAULT","0112","1"
"PUBLIC INDECENCY","31","2"
"NON - CRIMINAL","43","1"
"NON - CRIMINAL","23","1"
"NON - CRIMINAL","37","1"
"PUBLIC INDECENCY","17","1"
"ASSAULT","1924","1"
"ASSAULT","2412","1"
"MOTOR VEHICLE THEFT","55","536"
"MOTOR VEHICLE THEFT","8","5705"
"OTHER OFFENSE","29","11281"
"BATTERY","13","2743"
"DECEPTIVE PRACTICE","53","3272"
"THEFT","006","1509"
"BATTERY","0432","29"
"CRIMINAL DAMAGE","10","5018"
"OTHER OFFENSE","3","6293"
"BURGLARY","43","17217"
"NARCOTICS","2","3982"
"ROBBERY","28","7491"
"NARCOTICS","67","25234"
"LIQUOR LAW VIOLATION","6","469"
"OFFENSE INVOLVING CHILDREN","48","362"
"CRIMINAL SEXUAL ASSAULT","29","186"
"CRIMINAL SEXUAL ASSAULT","46","101"
"BATTERY","0722","51"
"ASSAULT","41","2403"
"ROBBERY","77","2387"
"LIQUOR LAW VIOLATION","71","223"
"OTHER OFFENSE","11","2667"
"CRIMINAL DAMAGE","55","2476"
"BATTERY","0931","16"
"WEAPONS VIOLATION","41","195"
"BATTERY","2432","20"
"ASSAULT","0614","7"
"CRIMINAL SEXUAL ASSAULT","66","140"
"ASSAULT","0722","20"
"SEX OFFENSE","58","456"
"BATTERY","0235","9"
"CRIMINAL SEXUAL ASSAULT","27","110"
"ASSAULT","59","1763"
"STALKING","73","54"
"CRIMINAL TRESPASS","19","2345"
"BATTERY","2433","15"
"BATTERY","0713","34"
"NARCOTICS","13","814"
"BATTERY","1822","13"
"WEAPONS VIOLATION","16","461"
"INTERFERENCE WITH PUBLIC OFFICER","8","509"
"CRIMINAL SEXUAL ASSAULT","22","105"
"ASSAULT","1822","4"
"LIQUOR LAW VIOLATION","44","102"
"NARCOTICS","5","1320"
"BATTERY","0822","13"
"MOTOR VEHICLE THEFT","015","536"
"CRIMINAL SEXUAL ASSAULT","51","21"
"OFFENSE INVOLVING CHILDREN","76","102"
"ROBBERY","55","248"
"BATTERY","0324","37"
"STALKING","15","54"
"BATTERY","0913","18"
"CRIMINAL SEXUAL ASSAULT","47","11"
"SEX OFFENSE","35","219"
"KIDNAPPING","51","54"
"LIQUOR LAW VIOLATION","13","53"
"KIDNAPPING","4","47"
"OBSCENITY","71","12"
"LIQUOR LAW VIOLATION","35","34"
"ASSAULT","2433","2"
"ASSAULT","0333","9"
"PUBLIC PEACE VIOLATION","77","456"
"INTIMIDATION","20","18"
"ASSAULT","0931","3"
"OBSCENITY","30","11"
"WEAPONS VIOLATION","006","309"
"KIDNAPPING","015","17"
"PUBLIC INDECENCY","77","2"
"PUBLIC PEACE VIOLATION","007","305"
"OTHER OFFENSE","018","138"
"CRIMINAL DAMAGE","009","690"
"BATTERY","0","13"
"STALKING","011","8"
"GAMBLING","49","357"
"CRIM SEXUAL ASSAULT","025","27"
"LIQUOR LAW VIOLATION","019","27"
"OFFENSE INVOLVING CHILDREN","016","36"
"OFFENSE INVOLVING CHILDREN","003","125"
"WEAPONS VIOLATION","019","86"
"SEX OFFENSE","020","39"
"KIDNAPPING","006","19"
"INTIMIDATION","76","14"
