"primary_type","community_area","count"
"OFFENSE INVOLVING CHILDREN","010","52"
"LIQUOR LAW VIOLATION","014","16"
"OBSCENITY","13","4"
"INTERFERENCE WITH PUBLIC OFFICER","016","3"
"OTHER NARCOTIC VIOLATION","30","1"
"NON-CRIMINAL","20","2"
"OTHER NARCOTIC VIOLATION","014","1"
"BATTERY","2521","11"
"NON-CRIMINAL","69","2"
"NON - CRIMINAL","11","3"
"PUBLIC INDECENCY","63","1"
"ASSAULT","1432","1"
"THEFT","24","67556"
"CRIMINAL DAMAGE","61","15688"
"CRIMINAL DAMAGE","29","19601"
"OTHER OFFENSE","8","8764"
"BURGLARY","18","1352"
"MOTOR VEHICLE THEFT","14","3523"
"MOTOR VEHICLE THEFT","43","9036"
"HOMICIDE","51","100"
"DECEPTIVE PRACTICE","56","3240"
"ROBBERY","7","3190"
"WEAPONS VIOLATION","63","1142"
"BATTERY","41","5265"
"BURGLARY","56","3676"
"ROBBERY","22","5355"
"PUBLIC PEACE VIOLATION","39","112"
"SEX OFFENSE","20","226"
"NARCOTICS","71","19707"
"ASSAULT","0723","11"
"BATTERY","0723","23"
"MOTOR VEHICLE THEFT","18","1202"
"BATTERY","0131","34"
"MOTOR VEHICLE THEFT","005","2498"
"BATTERY","0622","15"
"ASSAULT","2031","3"
"CRIMINAL SEXUAL ASSAULT","75","26"
"ASSAULT","1832","5"
"HOMICIDE","67","511"
"HOMICIDE","46","312"
"HOMICIDE","54","94"
"INTERFERENCE WITH PUBLIC OFFICER","56","78"
"HOMICIDE","14","80"
"OFFENSE INVOLVING CHILDREN","27","718"
"SEX OFFENSE","69","547"
"PUBLIC PEACE VIOLATION","21","383"
"BATTERY","0132","15"
"BATTERY","1531","32"
"SEX OFFENSE","48","98"
"ASSAULT","0734","5"
"ASSAULT","1914","7"
"CONCEALED CARRY LICENSE VIOLATION","61","9"
"CRIMINAL TRESPASS","70","1136"
"OFFENSE INVOLVING CHILDREN","65","520"
"SEX OFFENSE","76","142"
"BATTERY","0921","14"
"BATTERY","1013","16"
"INTERFERENCE WITH PUBLIC OFFICER","3","184"
"INTIMIDATION","69","81"
"STALKING","45","29"
"BATTERY","2022","4"
"CRIMINAL DAMAGE","011","731"
"ASSAULT","2213","5"
"OBSCENITY","67","11"
"BATTERY","019","1220"
"INTIMIDATION","35","50"
"ASSAULT","1634","3"
"PUBLIC PEACE VIOLATION","58","714"
"BATTERY","0523","17"
"ASSAULT","2413","1"
"ASSAULT","1621","1"
"CRIM SEXUAL ASSAULT","8","761"
"OBSCENITY","49","13"
"HOMICIDE","55","16"
"LIQUOR LAW VIOLATION","2","218"
"INTIMIDATION","17","28"
"BATTERY","024","1060"
"OBSCENITY","23","14"
"OTHER OFFENSE","015","137"
"NARCOTICS","002","540"
"SEX OFFENSE","007","71"
"NARCOTICS","014","185"
"GAMBLING","12","13"
"KIDNAPPING","22","124"
"PUBLIC PEACE VIOLATION","001","105"
"OTHER NARCOTIC VIOLATION","13","7"
"LIQUOR LAW VIOLATION","004","35"
"ARSON","010","11"
"CRIM SEXUAL ASSAULT","009","15"
"STALKING","017","2"
"LIQUOR LAW VIOLATION","007","6"
"PROSTITUTION","41","4"
"GAMBLING","9","4"
"LIQUOR LAW VIOLATION","025","26"
"OFFENSE INVOLVING CHILDREN","020","16"
"PROSTITUTION","45","15"
"PUBLIC INDECENCY","7","8"
"ASSAULT","1624","4"
"NON-CRIMINAL","71","2"
"CONCEALED CARRY LICENSE VIOLATION","59","7"
"OBSCENITY","014","5"
"ASSAULT","1024","2"
"GAMBLING","74","3"
"ARSON","001","3"
"NON-CRIMINAL","65","1"
"NON-CRIMINAL","57","1"
"INTERFERENCE WITH PUBLIC OFFICER","020","1"
"ASSAULT","1631","1"
"RITUALISM","69","1"
"DECEPTIVE PRACTICE","71","6717"
"ASSAULT","1","6431"
"BATTERY","56","7347"
"BURGLARY","60","3568"
"MOTOR VEHICLE THEFT","24","10157"
"ROBBERY","45","1896"
"CRIMINAL DAMAGE","16","11745"
"ROBBERY","41","2544"
"OTHER OFFENSE","71","13611"
"WEAPONS VIOLATION","50","461"
"ASSAULT","21","3761"
"MOTOR VEHICLE THEFT","35","3205"
"DECEPTIVE PRACTICE","58","2287"
"CRIMINAL TRESPASS","52","567"
"NARCOTICS","1","9601"
"DECEPTIVE PRACTICE","30","3111"
"NARCOTICS","20","2914"
"ASSAULT","64","1797"
"BATTERY","1014","34"
"MOTOR VEHICLE THEFT","008","2529"
"BATTERY","1833","21"
"BATTERY","0424","53"
"BATTERY","0724","25"
"CONCEALED CARRY LICENSE VIOLATION","29","47"
"BATTERY","1012","27"
"SEX OFFENSE","5","155"
"BURGLARY","20","2872"
"NARCOTICS","17","1423"
"MOTOR VEHICLE THEFT","024","466"
"HOMICIDE","58","163"
"SEX OFFENSE","15","420"
"STALKING","59","19"
"OFFENSE INVOLVING CHILDREN","16","590"
"ARSON","40","78"
"WEAPONS VIOLATION","18","100"
"CONCEALED CARRY LICENSE VIOLATION","3","8"
"BATTERY","2024","5"
"HOMICIDE","63","155"
"KIDNAPPING","33","27"
"ARSON","57","59"
"INTERFERENCE WITH PUBLIC OFFICER","40","183"
"BATTERY","2524","8"
"HUMAN TRAFFICKING","26","4"
"BATTERY","1912","6"
"KIDNAPPING","23","158"
"ASSAULT","1633","2"
"ASSAULT","0624","9"
"NON-CRIMINAL","49","1"
"PROSTITUTION","61","2205"
"PROSTITUTION","24","2099"
"HOMICIDE","24","190"
"HOMICIDE","40","183"
"PROSTITUTION","20","842"
"GAMBLING","42","428"
"THEFT","011","1733"
"ASSAULT","017","753"
"CRIM SEXUAL ASSAULT","70","215"
"CRIMINAL DAMAGE","014","368"
"ASSAULT","003","1513"
"SEX OFFENSE","","2391"
"BURGLARY","004","276"
"WEAPONS VIOLATION","015","272"
"WEAPONS VIOLATION","005","304"
"CRIM SEXUAL ASSAULT","61","552"
"OFFENSE INVOLVING CHILDREN","022","137"
"GAMBLING","24","98"
"PUBLIC INDECENCY","8","18"
"PUBLIC PEACE VIOLATION","025","243"
"OFFENSE INVOLVING CHILDREN","002","84"
"INTERFERENCE WITH PUBLIC OFFICER","004","3"
"LIQUOR LAW VIOLATION","011","19"
"KIDNAPPING","024","5"
"STALKING","012","6"
"ROBBERY","0","1"
"RITUALISM","","8"
"ASSAULT","0915","6"
"OBSCENITY","010","2"
"OTHER NARCOTIC VIOLATION","54","1"
"ASSAULT","1823","1"
"NON - CRIMINAL","60","2"
"OTHER NARCOTIC VIOLATION","17","2"
"NON-CRIMINAL","34","1"
"THEFT","8","102967"
"BATTERY","1","19609"
"THEFT","27","15909"
"BATTERY","32","15422"
"THEFT","11","6771"
"BATTERY","39","6917"
"DECEPTIVE PRACTICE","60","2129"
"BATTERY","61","29440"
"OFFENSE INVOLVING CHILDREN","40","571"
"BATTERY","17","6479"
"BATTERY","0632","35"
"BATTERY","2534","23"
"MOTOR VEHICLE THEFT","63","4112"
"THEFT","18","3893"
"OTHER OFFENSE","13","1501"
"INTIMIDATION","9","13"
"BURGLARY","77","3936"
"CRIMINAL DAMAGE","74","2323"
"PUBLIC PEACE VIOLATION","53","603"
"OTHER OFFENSE","74","1581"
"NARCOTICS","22","6652"
"DECEPTIVE PRACTICE","37","1275"
"OFFENSE INVOLVING CHILDREN","9","58"
"BURGLARY","4","3404"
"BATTERY","1654","5"
"OBSCENITY","1","13"
"CRIMINAL SEXUAL ASSAULT","41","59"
"ASSAULT","0631","3"
"ARSON","44","205"
"WEAPONS VIOLATION","56","563"
"CRIMINAL TRESPASS","26","2057"
"MOTOR VEHICLE THEFT","019","1199"
"NARCOTICS","10","519"
"OFFENSE INVOLVING CHILDREN","31","538"
"CRIMINAL SEXUAL ASSAULT","31","76"
"OFFENSE INVOLVING CHILDREN","62","219"
"CRIMINAL SEXUAL ASSAULT","13","22"
"HOMICIDE","71","434"
"CRIMINAL SEXUAL ASSAULT","9","8"
"ROBBERY","002","144"
"INTERFERENCE WITH PUBLIC OFFICER","57","21"
"BATTERY","0733","19"
"SEX OFFENSE","9","56"
"CONCEALED CARRY LICENSE VIOLATION","53","19"
"INTERFERENCE WITH PUBLIC OFFICER","44","386"
"BATTERY","018","1117"
"BATTERY","0813","20"
"PUBLIC PEACE VIOLATION","11","159"
"WEAPONS VIOLATION","11","89"
"STALKING","7","48"
"OBSCENITY","34","3"
"BATTERY","2032","8"
"LIQUOR LAW VIOLATION","11","78"
"OBSCENITY","4","5"
"INTIMIDATION","5","41"
"ASSAULT","2023","5"
"DECEPTIVE PRACTICE","014","26"
"CONCEALED CARRY LICENSE VIOLATION","43","15"
"HOMICIDE","22","154"
"ASSAULT","0733","4"
"PROSTITUTION","7","344"
"HOMICIDE","20","51"
"HOMICIDE","13","16"
"INTERFERENCE WITH PUBLIC OFFICER","5","53"
"CONCEALED CARRY LICENSE VIOLATION","73","10"
"CRIMINAL DAMAGE","025","732"
"CRIMINAL TRESPASS","001","385"
"CRIM SEXUAL ASSAULT","58","262"
"CRIM SEXUAL ASSAULT","10","96"
"CRIM SEXUAL ASSAULT","68","826"
"ASSAULT","009","1201"
"PROSTITUTION","37","35"
"CRIMINAL TRESPASS","003","411"
"BURGLARY","007","308"
"GAMBLING","44","195"
"GAMBLING","39","65"
"GAMBLING","008","14"
"CRIMINAL DAMAGE","0","12"
"CRIM SEXUAL ASSAULT","007","17"
"PUBLIC PEACE VIOLATION","005","244"
"PROSTITUTION","65","20"
"OTHER OFFENSE","025","207"
"LIQUOR LAW VIOLATION","76","20"
"KIDNAPPING","45","40"
"INTIMIDATION","002","19"
"KIDNAPPING","5","31"
"ARSON","004","37"
"DECEPTIVE PRACTICE","007","48"
"OFFENSE INVOLVING CHILDREN","014","42"
"KIDNAPPING","40","58"
"OBSCENITY","25","32"
"INTIMIDATION","019","8"
"NON-CRIMINAL","56","5"
"PUBLIC INDECENCY","009","2"
"HUMAN TRAFFICKING","10","1"
"STALKING","024","4"
"OTHER NARCOTIC VIOLATION","001","1"
"HUMAN TRAFFICKING","18","1"
"OBSCENITY","54","4"
"CRIMINAL DAMAGE","13","3249"
"DECEPTIVE PRACTICE","2","5349"
"NARCOTICS","76","2556"
"BATTERY","48","6186"
"THEFT","34","6899"
"WEAPONS VIOLATION","47","225"
"DECEPTIVE PRACTICE","44","7241"
"CRIMINAL TRESPASS","29","3926"
"THEFT","56","11791"
"CRIMINAL DAMAGE","33","4168"
"ROBBERY","40","3514"
"CRIMINAL TRESPASS","11","757"
"WEAPONS VIOLATION","8","1459"
"OTHER OFFENSE","38","6100"
"DECEPTIVE PRACTICE","63","1937"
"THEFT","50","4807"
"OFFENSE INVOLVING CHILDREN","23","1662"
"BURGLARY","33","1411"
"OFFENSE INVOLVING CHILDREN","67","1473"
"CRIMINAL TRESPASS","8","13585"
"PUBLIC PEACE VIOLATION","8","1308"
"DECEPTIVE PRACTICE","13","1537"
"MOTOR VEHICLE THEFT","57","1618"
"INTERFERENCE WITH PUBLIC OFFICER","19","376"
"SEX OFFENSE","67","591"
"STALKING","24","115"
"ASSAULT","48","2554"
"WEAPONS VIOLATION","51","876"
"BURGLARY","57","1994"
"INTIMIDATION","67","82"
"NARCOTICS","42","12556"
"CRIMINAL TRESPASS","54","995"
"STALKING","35","60"
"DECEPTIVE PRACTICE","20","1453"
"BATTERY","1123","42"
"BATTERY","1633","26"
"ROBBERY","36","528"
"BATTERY","50","5119"
"KIDNAPPING","43","194"
"THEFT","47","1469"
"NARCOTICS","21","2695"
"NARCOTICS","56","3255"
"OFFENSE INVOLVING CHILDREN","13","172"
"OFFENSE INVOLVING CHILDREN","5","218"
"CRIMINAL SEXUAL ASSAULT","57","26"
"BATTERY","0915","22"
"ASSAULT","1422","3"
"SEX OFFENSE","13","145"
"OFFENSE INVOLVING CHILDREN","6","278"
"BATTERY","0814","8"
"BATTERY","2023","13"
"STALKING","6","94"
"PUBLIC PEACE VIOLATION","41","124"
"BATTERY","0925","15"
"BATTERY","1214","8"
"OFFENSE INVOLVING CHILDREN","45","303"
"ASSAULT","0511","6"
"BATTERY","1821","25"
"OBSCENITY","28","20"
"ROBBERY","9","40"
"NON-CRIMINAL","50","3"
"LIQUOR LAW VIOLATION","27","134"
"LIQUOR LAW VIOLATION","73","39"
"HOMICIDE","59","39"
"HOMICIDE","4","20"
"HOMICIDE","7","21"
"BURGLARY","012","161"
"CRIM SEXUAL ASSAULT","69","759"
"ARSON","36","22"
"NON-CRIMINAL","76","20"
"INTIMIDATION","45","24"
"GAMBLING","018","11"
"PROSTITUTION","63","172"
"PUBLIC PEACE VIOLATION","011","250"
"NARCOTICS","020","531"
"GAMBLING","1","153"
"OTHER OFFENSE","014","169"
"CRIM SEXUAL ASSAULT","39","152"
"GAMBLING","006","24"
"SEX OFFENSE","014","57"
"ROBBERY","019","37"
"OBSCENITY","68","11"
"STALKING","008","5"
"GAMBLING","77","52"
"LIQUOR LAW VIOLATION","47","8"
"INTERFERENCE WITH PUBLIC OFFICER","36","18"
"KIDNAPPING","022","15"
"PUBLIC INDECENCY","11","1"
"LIQUOR LAW VIOLATION","50","11"
"OBSCENITY","64","7"
"STALKING","006","5"
"OBSCENITY","69","9"
"PUBLIC INDECENCY","3","1"
"PROSTITUTION","007","1"
"ASSAULT","0735","6"
"HUMAN TRAFFICKING","42","1"
"ASSAULT","0811","3"
"HUMAN TRAFFICKING","25","6"
"PUBLIC INDECENCY","14","1"
"OTHER NARCOTIC VIOLATION","28","3"
"PUBLIC INDECENCY","50","2"
"ASSAULT","0532","4"
"ASSAULT","0824","1"
"NARCOTICS","27","29593"
"MOTOR VEHICLE THEFT","16","5486"
"BATTERY","35","13292"
"MOTOR VEHICLE THEFT","33","1968"
"SEX OFFENSE","3","756"
"WEAPONS VIOLATION","55","145"
"DECEPTIVE PRACTICE","22","6252"
"THEFT","31","15040"
"NARCOTICS","28","12707"
"ASSAULT","61","10174"
"CRIMINAL TRESPASS","23","3451"
"WEAPONS VIOLATION","17","202"
"CRIMINAL DAMAGE","45","4100"
"NARCOTICS","68","20399"
"CRIMINAL TRESPASS","10","674"
"CRIMINAL DAMAGE","15","12938"
"CRIMINAL TRESPASS","3","3865"
"BATTERY","1731","8"
"BURGLARY","22","11090"
"MOTOR VEHICLE THEFT","012","3257"
"DECEPTIVE PRACTICE","57","1080"
"SEX OFFENSE","6","602"
"BATTERY","2234","24"
"ASSAULT","50","2313"
"OFFENSE INVOLVING CHILDREN","58","808"
"MOTOR VEHICLE THEFT","9","168"
"BATTERY","0533","30"
"CRIMINAL TRESPASS","64","466"
"BATTERY","1213","6"
"BATTERY","1823","6"
"STALKING","42","72"
"PUBLIC PEACE VIOLATION","50","138"
"ARSON","30","339"
"ASSAULT","1821","4"
"BATTERY","1915","10"
"ASSAULT","0413","7"
"NARCOTICS","48","2075"
"HOMICIDE","68","519"
"NARCOTICS","52","2076"
"LIQUOR LAW VIOLATION","48","68"
"SEX OFFENSE","59","136"
"BATTERY","0631","29"
"GAMBLING","66","481"
"BATTERY","0613","24"
"THEFT","009","1287"
"INTERFERENCE WITH PUBLIC OFFICER","77","78"
"STALKING","66","62"
"BATTERY","0214","20"
"ARSON","58","210"
"ARSON","77","64"
"ASSAULT","2013","3"
"KIDNAPPING","38","72"
"CRIMINAL SEXUAL ASSAULT","74","7"
"OBSCENITY","56","9"
"NON-CRIMINAL","48","1"
"INTIMIDATION","59","25"
"THEFT","018","1382"
"BATTERY","001","1208"
"OBSCENITY","44","11"
"OBSCENITY","52","2"
"ASSAULT","0922","2"
"BATTERY","005","4495"
"PUBLIC PEACE VIOLATION","002","201"
"BATTERY","016","1662"
"CRIMINAL DAMAGE","","70119"
"ASSAULT","0715","2"
"HOMICIDE","57","27"
"ASSAULT","0934","4"
"BATTERY","1653","6"
"GAMBLING","57","8"
"CONCEALED CARRY LICENSE VIOLATION","50","5"
"ASSAULT","018","441"
"CRIMINAL TRESPASS","016","360"
"CRIM SEXUAL ASSAULT","65","155"
"ARSON","007","17"
"GAMBLING","4","56"
"CRIM SEXUAL ASSAULT","59","68"
"GAMBLING","33","33"
"LIQUOR LAW VIOLATION","64","53"
"CRIM SEXUAL ASSAULT","64","73"
"PROSTITUTION","33","56"
"DECEPTIVE PRACTICE","008","111"
"OBSCENITY","020","4"
"GAMBLING","22","29"
"RITUALISM","71","1"
"INTIMIDATION","007","14"
"OTHER NARCOTIC VIOLATION","20","1"
"INTIMIDATION","014","6"
"KIDNAPPING","005","10"
"PUBLIC INDECENCY","16","1"
"PROSTITUTION","010","2"
"HUMAN TRAFFICKING","69","7"
"OBSCENITY","003","1"
"NON-CRIMINAL","66","7"
"HUMAN TRAFFICKING","52","1"
"OBSCENITY","76","2"
"PUBLIC INDECENCY","53","1"
"PUBLIC INDECENCY","010","1"
"PUBLIC INDECENCY","015","1"
"DECEPTIVE PRACTICE","19","5262"
"ROBBERY","43","10343"
"DECEPTIVE PRACTICE","72","2265"
"SEX OFFENSE","30","675"
"BATTERY","34","3993"
"MOTOR VEHICLE THEFT","36","881"
"ASSAULT","73","5475"
"OTHER OFFENSE","49","12295"
"ASSAULT","11","1684"
"BATTERY","1011","70"
"OTHER OFFENSE","15","7583"
"DECEPTIVE PRACTICE","31","2777"
"BURGLARY","25","16823"
"OFFENSE INVOLVING CHILDREN","2","701"
"ASSAULT","17","2513"
"THEFT","53","14618"
"WEAPONS VIOLATION","32","566"
"SEX OFFENSE","8","786"
"BATTERY","1622","12"
"ASSAULT","10","1592"
"WEAPONS VIOLATION","45","651"
"NARCOTICS","44","11344"
"DECEPTIVE PRACTICE","40","1760"
"NARCOTICS","69","15557"
"LIQUOR LAW VIOLATION","8","654"
"CONCEALED CARRY LICENSE VIOLATION","56","153"
"BATTERY","64","4445"
"OFFENSE INVOLVING CHILDREN","71","1934"
"BURGLARY","40","3963"
"OTHER OFFENSE","36","1377"
"BATTERY","2411","7"
"OFFENSE INVOLVING CHILDREN","49","1552"
"SEX OFFENSE","71","561"
"ASSAULT","0611","6"
"BATTERY","1421","7"
"BATTERY","0924","15"
"CRIMINAL TRESPASS","15","1799"
"DECEPTIVE PRACTICE","9","739"
"BATTERY","1924","22"
"PUBLIC PEACE VIOLATION","3","861"
"INTERFERENCE WITH PUBLIC OFFICER","58","143"
"STALKING","33","47"
"BATTERY","0725","34"
"OFFENSE INVOLVING CHILDREN","11","269"
"OFFENSE INVOLVING CHILDREN","60","300"
"BATTERY","1921","8"
"BATTERY","0621","33"
"ARSON","2","124"
"LIQUOR LAW VIOLATION","61","312"
"ROBBERY","011","109"
"BATTERY","2514","13"
"BATTERY","0124","23"
"ARSON","20","167"
"INTIMIDATION","71","110"
"BATTERY","2412","13"
"LIQUOR LAW VIOLATION","34","77"
"KIDNAPPING","74","87"
"CONCEALED CARRY LICENSE VIOLATION","6","14"
"ASSAULT","1122","6"
"PUBLIC INDECENCY","32","18"
"INTIMIDATION","58","58"
"OTHER OFFENSE","019","202"
"BATTERY","2211","13"
"BATTERY","011","4529"
"THEFT","005","1762"
"INTIMIDATION","60","51"
"STALKING","9","9"
"ARSON","37","37"
"ARSON","35","43"
"ARSON","60","118"
"ASSAULT","1833","4"
"ARSON","70","109"
"HOMICIDE","5","22"
"BURGLARY","008","172"
"ASSAULT","0314","5"
"ASSAULT","1212","7"
"THEFT","015","917"
"OTHER OFFENSE","","39248"
"KIDNAPPING","53","141"
"HOMICIDE","72","15"
"GAMBLING","63","37"
"ASSAULT","1812","2"
"PROSTITUTION","28","1861"
"CRIM SEXUAL ASSAULT","17","93"
"CRIMINAL TRESPASS","","16340"
"ASSAULT","011","2243"
"WEAPONS VIOLATION","018","118"
"CRIMINAL TRESPASS","010","296"
"INTIMIDATION","37","34"
"NARCOTICS","003","300"
"GAMBLING","7","16"
"INTERFERENCE WITH PUBLIC OFFICER","2","143"
"KIDNAPPING","12","29"
"PROSTITUTION","32","510"
"DECEPTIVE PRACTICE","0","8"
"WEAPONS VIOLATION","009","297"
"PROSTITUTION","35","76"
"INTIMIDATION","025","12"
"CRIM SEXUAL ASSAULT","016","8"
"PROSTITUTION","17","12"
"INTERFERENCE WITH PUBLIC OFFICER","007","3"
"NON-CRIMINAL (SUBJECT SPECIFIED)","60","1"
"HUMAN TRAFFICKING","68","1"
"OTHER NARCOTIC VIOLATION","003","1"
"OTHER NARCOTIC VIOLATION","65","1"
"CONCEALED CARRY LICENSE VIOLATION","18","1"
"OTHER NARCOTIC VIOLATION","76","1"
"NON-CRIMINAL","67","2"
"ASSAULT","2411","2"
"PUBLIC INDECENCY","73","1"
"CONCEALED CARRY LICENSE VIOLATION","11","1"
"ASSAULT","2011","1"
"ASSAULT","0815","1"
"OTHER NARCOTIC VIOLATION","37","1"
"ROBBERY","44","8150"
"MOTOR VEHICLE THEFT","66","8707"
"THEFT","43","36257"
"ROBBERY","16","2308"
"CRIMINAL DAMAGE","59","4618"
"THEFT","1","24051"
"THEFT","46","18607"
"MOTOR VEHICLE THEFT","38","4899"
"WEAPONS VIOLATION","46","2433"
"MOTOR VEHICLE THEFT","41","2526"
"NARCOTICS","19","7323"
"WEAPONS VIOLATION","31","1021"
"DECEPTIVE PRACTICE","5","3270"
"THEFT","15","20315"
"THEFT","51","8597"
"WEAPONS VIOLATION","14","580"
"THEFT","45","6649"
"SEX OFFENSE","2","440"
"DECEPTIVE PRACTICE","61","3608"
"THEFT","12","3354"
"ROBBERY","73","3399"
"CRIMINAL SEXUAL ASSAULT","16","67"
"BURGLARY","7","7986"
"CRIMINAL TRESPASS","22","2690"
"INTERFERENCE WITH PUBLIC OFFICER","20","133"
"SEX OFFENSE","70","243"
"ASSAULT","29","12974"
"CRIMINAL TRESPASS","21","1238"
"WEAPONS VIOLATION","39","319"
"OTHER OFFENSE","41","2849"
"ASSAULT","001","559"
"BATTERY","0413","48"
"ROBBERY","14","2394"
"THEFT","55","3024"
"MOTOR VEHICLE THEFT","39","2108"
"BATTERY","2233","21"
"SEX OFFENSE","72","99"
"BATTERY","0934","20"
"CRIMINAL SEXUAL ASSAULT","20","38"
"NARCOTICS","70","2237"
"KIDNAPPING","72","74"
"BATTERY","2222","25"
"OFFENSE INVOLVING CHILDREN","70","608"
"PUBLIC PEACE VIOLATION","51","261"
"HOMICIDE","44","352"
"BATTERY","2013","12"
"KIDNAPPING","46","146"
"ASSAULT","1834","9"
"STALKING","36","16"
"MOTOR VEHICLE THEFT","006","3679"
"NARCOTICS","54","2017"
"BATTERY","0314","9"
"ARSON","62","66"
"BATTERY","1234","18"
"INTERFERENCE WITH PUBLIC OFFICER","35","130"
"INTERFERENCE WITH PUBLIC OFFICER","60","74"
"ASSAULT","0531","4"
"ASSAULT","0925","7"
"ASSAULT","1653","2"
"BATTERY","1922","5"
"ROBBERY","005","138"
"ASSAULT","0522","8"
"SEX OFFENSE","019","79"
"ASSAULT","1911","2"
"PROSTITUTION","5","126"
"INTIMIDATION","13","17"
"CRIMINAL TRESPASS","020","429"
"HOMICIDE","16","58"
"KIDNAPPING","14","52"
"BATTERY","020","1565"
"BATTERY","010","2809"
"CRIM SEXUAL ASSAULT","21","245"
"GAMBLING","19","61"
"WEAPONS VIOLATION","011","397"
"PROSTITUTION","77","150"
"LIQUOR LAW VIOLATION","016","38"
"BURGLARY","022","165"
"DECEPTIVE PRACTICE","002","102"
"PUBLIC PEACE VIOLATION","019","99"
"SEX OFFENSE","004","119"
"PROSTITUTION","39","10"
"PROSTITUTION","019","1"
"GAMBLING","72","4"
"CRIM SEXUAL ASSAULT","001","17"
"OBSCENITY","012","7"
"NON - CRIMINAL","15","1"
"PUBLIC INDECENCY","1","3"
"CONCEALED CARRY LICENSE VIOLATION","45","3"
"PROSTITUTION","018","1"
"ASSAULT","1931","1"
"PUBLIC INDECENCY","51","2"
"ASSAULT","2533","2"
"OBSCENITY","007","1"
"ASSAULT","1654","1"
"RITUALISM","8","2"
"CRIMINAL TRESPASS","24","4149"
"BATTERY","31","11767"
"CRIMINAL DAMAGE","26","10698"
"THEFT","76","13382"
"DECEPTIVE PRACTICE","64","1692"
"THEFT","49","26408"
"BATTERY","68","43817"
"CRIMINAL DAMAGE","70","9778"
"OTHER OFFENSE","56","3634"
"ASSAULT","27","8149"
"DECEPTIVE PRACTICE","8","25557"
